Grid Search Results:
-------------------
NUM_TREES | MAX_SIZE | Search Time | Speedup | Recall
-------------------
        1 |        5 | 267.625µs   |   26.64x | 0.05
        1 |       10 | 229.875µs   |   31.01x | 0.10
        1 |       15 | 214.334µs   |   33.26x | 0.10
        1 |       20 | 263.209µs   |   27.08x | 0.20
        1 |       30 | 231.25µs    |   30.83x | 0.10
        1 |       40 | 203.042µs   |   35.11x | 0.05
        2 |        5 | 560.75µs    |   12.71x | 0.00
        2 |       10 | 371.041µs   |   19.21x | 0.00
        2 |       15 | 421.5µs     |   16.91x | 0.15
        2 |       20 | 512.916µs   |   13.90x | 0.25
        2 |       30 | 518.75µs    |   13.74x | 0.30
        2 |       40 | 442.208µs   |   16.12x | 0.15
        3 |        5 | 802.958µs   |    8.88x | 0.20
        3 |       10 | 628.75µs    |   11.34x | 0.20
        3 |       15 | 651.875µs   |   10.94x | 0.25
        3 |       20 | 681.666µs   |   10.46x | 0.10
        3 |       30 | 598µs       |   11.92x | 0.05
        3 |       40 | 548.542µs   |   13.00x | 0.40
        4 |        5 | 1.099458ms  |    6.48x | 0.40
        4 |       10 | 1.022375ms  |    6.97x | 0.35
        4 |       15 | 875.375µs   |    8.14x | 0.45
        4 |       20 | 903.75µs    |    7.89x | 0.25
        4 |       30 | 1.033708ms  |    6.90x | 0.55
        4 |       40 | 759.5µs     |    9.39x | 0.45
        5 |        5 | 1.396667ms  |    5.10x | 0.55
        5 |       10 | 1.021208ms  |    6.98x | 0.15
        5 |       15 | 1.054125ms  |    6.76x | 0.40
        5 |       20 | 1.166834ms  |    6.11x | 0.55
        5 |       30 | 1.087208ms  |    6.56x | 0.60
        5 |       40 | 1.030708ms  |    6.92x | 0.35
        6 |        5 | 1.642375ms  |    4.34x | 0.35
        6 |       10 | 1.342125ms  |    5.31x | 0.65
        6 |       15 | 1.393ms     |    5.12x | 0.60
        6 |       20 | 1.196417ms  |    5.96x | 0.35
        6 |       30 | 1.231416ms  |    5.79x | 0.30
        6 |       40 | 1.243083ms  |    5.73x | 0.30
        7 |        5 | 1.858709ms  |    3.84x | 0.60
        7 |       10 | 1.639167ms  |    4.35x | 0.45
        7 |       15 | 1.43975ms   |    4.95x | 0.55
        7 |       20 | 1.479209ms  |    4.82x | 0.25
        7 |       30 | 1.463542ms  |    4.87x | 0.35
        7 |       40 | 1.399667ms  |    5.09x | 0.55
        8 |        5 | 2.039375ms  |    3.50x | 0.55
        8 |       10 | 1.779084ms  |    4.01x | 0.50
        8 |       15 | 1.562416ms  |    4.56x | 0.65
        8 |       20 | 1.6175ms    |    4.41x | 0.70
        8 |       30 | 1.693542ms  |    4.21x | 0.55
        8 |       40 | 1.463208ms  |    4.87x | 0.50
        9 |        5 | 2.180625ms  |    3.27x | 0.60
        9 |       10 | 2.019875ms  |    3.53x | 0.50
        9 |       15 | 1.959667ms  |    3.64x | 0.60
        9 |       20 | 1.819625ms  |    3.92x | 0.90
        9 |       30 | 1.608959ms  |    4.43x | 0.60
        9 |       40 | 1.83625ms   |    3.88x | 0.70
       10 |        5 | 2.474542ms  |    2.88x | 0.55
       10 |       10 | 2.07275ms   |    3.44x | 0.50
       10 |       15 | 2.099708ms  |    3.39x | 0.50
       10 |       20 | 1.953416ms  |    3.65x | 0.80
       10 |       30 | 1.949625ms  |    3.66x | 0.70
       10 |       40 | 1.584459ms  |    4.50x | 0.55
Grid search completed in 22.12124625s
